complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole with Standard priority because the description cites 'pothole'.,
PM-202402,Pothole,Urgent,"Classified as Pothole with Urgent priority because the description cites 'pothole', 'child', 'school'.",
PM-202406,Flooding,Standard,"Classified as Flooding with Standard priority because the description cites 'flooded', 'knee-deep'.",
PM-202408,Flooding,Standard,Classified as Flooding with Standard priority because the description cites 'flooded'.,NEEDS_REVIEW
PM-202410,Streetlight,Standard,Classified as Streetlight with Standard priority because the description cites 'streetlight'.,
PM-202411,Streetlight,Urgent,"Classified as Streetlight with Urgent priority because the description cites 'streetlight', 'hazard'.",
PM-202413,Waste,Standard,"Classified as Waste with Standard priority because the description cites 'garbage', 'bins'.",
PM-202418,Noise,Standard,"Classified as Noise with Standard priority because the description cites 'music', 'midnight'.",
PM-202419,Road Damage,Standard,"Classified as Road Damage with Standard priority because the description cites 'road surface', 'cracked'.",
PM-202420,Drain Blockage,Urgent,"Classified as Drain Blockage with Urgent priority because the description cites 'manhole', 'injury'.",
PM-202427,Flooding,Standard,Classified as Flooding with Standard priority because the description cites 'floods'.,
PM-202428,Waste,Standard,Classified as Waste with Standard priority because the description cites 'dead animal'.,
PM-202430,Streetlight,Standard,Classified as Streetlight with Standard priority because the description cites 'lights out'.,NEEDS_REVIEW
PM-202433,Waste,Standard,"Classified as Waste with Standard priority because the description cites 'waste', 'dumped'.",
PM-202446,Road Damage,Urgent,"Classified as Road Damage with Urgent priority because the description cites 'footpath', 'tiles broken', 'fell'.",
